asin,title,price,price_tier,rating,review_count,availability,summary,verdict,product_url
B0FDKSMKPP,"truke New Launch Mega 10 True Wireless in Ear Earbuds W/ 24-Bit Lossless Spatial Audio, 70H Battery Fast Charge Buds, Dual Pairing, 13mm Drivers TWS, Low Latency(40ms), Matte Finish, ENC (Jet Black)","₹1,199.00",Mid-range,3.8 out of 5,(504),In stock,"The truke New Launch Mega 10 True Wireless in Ear Earb… is a mid-range-tier product priced at ₹1,199.00, with an very good customer rating from (504) reviews. Standout feature: Pristine 24-bit Lossless Spatial Audio: Unlock the true depth of your sound with…. Currently in stock and ready to ship.",A solid mid-range option with very good reviews — balances price and performance well.,https://www.amazon.in/dp/B0FDKSMKPP
B0F1CYD5PS,"truke Mega 9 New Launch True Wireless in Ear Earbuds W/ 24-Bit Lossless Spatial Audio, 70H Battery Fast Charge Ear Buds, Leather Finish, 13mm Speakers TWS, 40ms Ultra Low Latency, 4Mics ENC",₹999.00,Budget,3.9 out of 5,(766),In stock,"The truke Mega 9 New Launch True Wireless in Ear Earbu… is a budget-tier product priced at ₹999.00, with an very good customer rating from (766) reviews. Standout feature: Immersive Audio: Experience the richness of 24-bit lossless audio enhanced by sp…. Currently in stock and ready to ship.",A very good budget pick — great for cost-conscious buyers looking for reliable everyday performance.,https://www.amazon.in/dp/B0F1CYD5PS
